iter	MultiClass
0	1.034248299
1	0.9841438618
2	0.9445863384
3	0.9126975214
4	0.8854949161
5	0.8628292782
6	0.8439955054
7	0.8278008769
8	0.8146508764
9	0.8030146657
10	0.7931561378
11	0.7846862069
12	0.7776164889
13	0.7716632317
14	0.76646429
15	0.7620325007
16	0.7588038563
17	0.755319168
18	0.7523157903
19	0.7499834134
20	0.7478393607
21	0.7458198941
22	0.7441827359
23	0.7425787362
24	0.7410520789
25	0.7398279742
26	0.7385859549
27	0.7375046129
28	0.7366010257
29	0.7357201244
30	0.7348130844
31	0.7341712953
32	0.7336259132
33	0.7330865387
34	0.7324576772
35	0.7319523078
36	0.7313913984
37	0.7310341503
38	0.7305930814
39	0.7301205274
40	0.7293712446
41	0.7291795262
42	0.7289059885
43	0.7284473177
44	0.7280597107
45	0.7277434593
46	0.7272782522
47	0.7270275976
48	0.7266924361
49	0.7263756739
50	0.7259147145
51	0.7254505629
52	0.7251512469
53	0.7247155779
54	0.7244756521
55	0.7242294451
56	0.723714601
57	0.7233269138
58	0.722883756
59	0.7225310102
60	0.7222177814
61	0.7219469023
62	0.7213931739
63	0.7211147249
64	0.7208225211
65	0.7204362595
66	0.7201051372
67	0.7197143358
68	0.7193517959
69	0.7190183757
70	0.7188810878
71	0.7185363913
72	0.7183053827
73	0.7182391294
74	0.7179454549
75	0.7176891616
76	0.7173840867
77	0.7172288211
78	0.7168842652
79	0.7167022029
80	0.7164871632
81	0.7161936521
82	0.7160351234
83	0.7158210606
84	0.7156989362
85	0.7154272534
86	0.7151901599
87	0.7149775431
88	0.7147063645
89	0.7144905963
90	0.7142375651
91	0.7139873484
92	0.7136379396
93	0.7134503095
94	0.7130233012
95	0.7127979666
96	0.7126601234
97	0.7124366129
98	0.7121933156
99	0.7120104895
100	0.7117961629
101	0.7116104969
102	0.7113341853
103	0.7111223522
104	0.7108630982
105	0.7105855249
106	0.7104537603
107	0.7101522187
108	0.7099910657
109	0.7097826112
110	0.7095518645
111	0.7093665354
112	0.7090378389
113	0.7087792843
114	0.7084785254
115	0.7081077978
116	0.7077471605
117	0.7073621379
118	0.7071740608
119	0.7068851894
120	0.706692041
121	0.7062935453
122	0.7060331106
123	0.7057019205
124	0.7054184195
125	0.705204176
126	0.7049781851
127	0.7047738673
128	0.7045222342
129	0.7043333298
130	0.7039400442
131	0.7036520783
132	0.7035178016
133	0.7033631707
134	0.7031985743
135	0.7028073989
136	0.7024820252
137	0.702260254
138	0.702042744
139	0.7018582539
140	0.7016152032
141	0.7012398736
142	0.7009575985
143	0.7007449479
144	0.7006011084
145	0.7003359227
146	0.7000156928
147	0.6998295286
148	0.6994025355
149	0.6991988323
150	0.698929851
151	0.6986879311
152	0.6983716862
153	0.6980226297
154	0.6978247125
155	0.6976325729
156	0.6974165403
157	0.6970781489
158	0.6968197821
159	0.696531153
160	0.696294783
161	0.6960594322
162	0.6957668345
163	0.6955372726
164	0.6951365951
165	0.6949596949
166	0.6946966224
167	0.6943477879
168	0.6941305109
169	0.6939747126
170	0.6938211287
171	0.6935968389
172	0.6933018968
173	0.6931016326
174	0.6929927165
175	0.6927973316
176	0.692562818
177	0.6922022651
178	0.6919262237
179	0.6917474252
180	0.6915634848
181	0.691413794
182	0.6912767032
183	0.6910748307
184	0.6908426752
185	0.6906460823
186	0.690497992
187	0.6900872662
188	0.6899338642
189	0.6897842054
190	0.6897138712
191	0.6895246351
192	0.6893518987
193	0.6891301
194	0.6889100657
195	0.688673029
196	0.6885247578
197	0.6883019293
198	0.6880606586
199	0.6878512814
200	0.6876632816
201	0.6874430833
202	0.6871515246
203	0.6870068518
204	0.6867730143
205	0.6866570919
206	0.6864723515
207	0.6863661789
208	0.6861616746
209	0.6859168476
210	0.6857124696
211	0.6855818611
212	0.6853523869
213	0.6851088348
214	0.6848284214
215	0.6846908913
216	0.6844940419
217	0.6842596723
218	0.6840821388
219	0.6838463662
220	0.6837348199
221	0.6835262395
222	0.6833476865
223	0.6830479398
224	0.6828217088
225	0.6826422986
226	0.6824770397
227	0.6823315471
228	0.6822114909
229	0.6820283171
230	0.6817922169
231	0.6814520008
232	0.6813217618
233	0.6811548755
234	0.6808454179
235	0.6803662925
236	0.6801434506
237	0.6799642835
238	0.6798085615
239	0.6795565353
240	0.6792343515
241	0.6789606192
242	0.6787427109
243	0.6785411144
244	0.6783205844
245	0.6781995861
246	0.6779495811
247	0.6777291701
248	0.6775501303
249	0.6773676528
250	0.6771608116
251	0.6769706982
252	0.6767341942
253	0.6764987077
254	0.6763204885
255	0.6761772598
256	0.6759777062
